domain,group,signal_group,source,connector_or_device_pin,target_bank,target_pin_or_lane,rate_or_voltage,dependency,status,evidence_required,schematic_page,notes
MIPI,MIPI_DECODER_TO_A5E,interface_topology,Decoder board MIPI D-PHY,board-to-board connector,A5EC052A B32A MIPI-capable HSIO bank,TBD,HS up to 3.5 Gbps/lane short channel; use 2.5 Gbps/lane until SI proof,Decoder MIPI output must be standard CSI-2 D-PHY,assumed_for_rev1,Decoder board interface contract; Agilex 5 MIPI D-PHY IP guide; SI channel evidence,SCH_MIPI_DIRECT,Rev1 removes HS/LP switch and buffer; do not treat as generic differential IO
MIPI,MIPI_DECODER_TO_A5E,lane_count,Decoder board MIPI D-PHY,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Decoder source and IP configuration,pending_datasheet,Decoder datasheet or interface spec; MIPI IP configuration,SCH_MIPI_DIRECT,Fill exact lane count before wiring final connector pins
MIPI,MIPI_DECODER_TO_A5E,clock_lane,Decoder board MIPI clock lane,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Lane placement and bank resource rules,pending_pin_planner,Quartus Pin Planner; Agilex 5 MIPI-capable HSIO pinout,SCH_MIPI_DIRECT,Clock lane placement must follow MIPI D-PHY IP rules
MIPI,MIPI_DECODER_TO_A5E,data_lane_0,Decoder board MIPI lane 0,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Clock lane and bank placement,pending_pin_planner,Quartus Pin Planner; connector pin map,SCH_MIPI_DIRECT,Placeholder lane row; delete or duplicate after exact lane count is known
MIPI,MIPI_DECODER_TO_A5E,data_lane_1,Decoder board MIPI lane 1,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Clock lane and bank placement,pending_pin_planner,Quartus Pin Planner; connector pin map,SCH_MIPI_DIRECT,Placeholder lane row; delete or duplicate after exact lane count is known
MIPI,MIPI_DECODER_TO_A5E,data_lane_2,Decoder board MIPI lane 2,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Clock lane and bank placement,pending_pin_planner,Quartus Pin Planner; connector pin map,SCH_MIPI_DIRECT,Placeholder lane row; only keep if decoder path uses this lane
MIPI,MIPI_DECODER_TO_A5E,data_lane_3,Decoder board MIPI lane 3,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,TBD,Clock lane and bank placement,pending_pin_planner,Quartus Pin Planner; connector pin map,SCH_MIPI_DIRECT,Placeholder lane row; only keep if decoder path uses this lane
MIPI,MIPI_DECODER_TO_A5E,mipi_rzq,Agilex 5 MIPI D-PHY calibration,TBD,A5EC052A B32A HSIO bank,TBD,TBD,Must not conflict with LPDDR5 EMIF resources,pending_quartus,Agilex 5 MIPI D-PHY IP guide; Quartus resource report,SCH_MIPI_DIRECT,Track RZQ ownership explicitly before schematic final wiring
MIPI,MIPI_DECODER_TO_A5E,mipi_refclk,Board clock source TBD,TBD,A5EC052A B32A HSIO clock-capable pin,TBD,TBD,Must satisfy MIPI IP refclk placement,pending_quartus,MIPI IP guide; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,Confirm frequency and pin before symbol pin assignment
MIPI,MIPI_DECODER_TO_A5E,channel_loss_budget,Decoder board through connector to DF108 main board,TBD,A5EC052A B32A MIPI-capable HSIO bank,TBD,Target rate depends on insertion loss and skew,Connector and route length; SI model,pending_reference_design,Connector datasheet; layout stackup; SI simulation or channel budget,SCH_MIPI_DIRECT,Use 2.5 Gbps/lane assumption until short-channel evidence supports 3.5 Gbps/lane
